location,date,total_cases_per_million,new_cases_per_million
Brazil,2020-01-05,0.0,0.0
Brazil,2020-01-06,0.0,0.0
Brazil,2020-01-07,0.0,0.0
Brazil,2020-01-08,0.0,0.0
Brazil,2020-01-09,0.0,0.0
Brazil,2020-01-10,0.0,0.0
Brazil,2020-01-11,0.0,0.0
Brazil,2020-01-12,0.0,0.0
Brazil,2020-01-13,0.0,0.0
Brazil,2020-01-14,0.0,0.0
Brazil,2020-01-15,0.0,0.0
Brazil,2020-01-16,0.0,0.0
Brazil,2020-01-17,0.0,0.0
Brazil,2020-01-18,0.0,0.0
Brazil,2020-01-19,0.0,0.0
Brazil,2020-01-20,0.0,0.0
Brazil,2020-01-21,0.0,0.0
Brazil,2020-01-22,0.0,0.0
Brazil,2020-01-23,0.0,0.0
Brazil,2020-01-24,0.0,0.0
Brazil,2020-01-25,0.0,0.0
Brazil,2020-01-26,0.0,0.0
Brazil,2020-01-27,0.0,0.0
Brazil,2020-01-28,0.0,0.0
Brazil,2020-01-29,0.0,0.0
Brazil,2020-01-30,0.0,0.0
Brazil,2020-01-31,0.0,0.0
Brazil,2020-02-01,0.0,0.0
Brazil,2020-02-02,0.0,0.0
Brazil,2020-02-03,0.0,0.0
Brazil,2020-02-04,0.0,0.0
Brazil,2020-02-05,0.0,0.0
Brazil,2020-02-06,0.0,0.0
Brazil,2020-02-07,0.0,0.0
Brazil,2020-02-08,0.0,0.0
Brazil,2020-02-09,0.0,0.0
Brazil,2020-02-10,0.0,0.0
Brazil,2020-02-11,0.0,0.0
Brazil,2020-02-12,0.0,0.0
Brazil,2020-02-13,0.0,0.0
Brazil,2020-02-14,0.0,0.0
Brazil,2020-02-15,0.0,0.0
Brazil,2020-02-16,0.0,0.0
Brazil,2020-02-17,0.0,0.0
Brazil,2020-02-18,0.0,0.0
Brazil,2020-02-19,0.0,0.0
Brazil,2020-02-20,0.0,0.0
Brazil,2020-02-21,0.0,0.0
Brazil,2020-02-22,0.0,0.0
Brazil,2020-02-23,0.0,0.0
Brazil,2020-02-24,0.0,0.0
Brazil,2020-02-25,0.0,0.0
Brazil,2020-02-26,0.0,0.0
Brazil,2020-02-27,0.0,0.0
Brazil,2020-02-28,0.0,0.0
Brazil,2020-02-29,0.0,0.0
Brazil,2020-03-01,0.005,0.005
Brazil,2020-03-02,0.005,0.0
Brazil,2020-03-03,0.005,0.0
Brazil,2020-03-04,0.005,0.0
Brazil,2020-03-05,0.005,0.0
Brazil,2020-03-06,0.005,0.0
Brazil,2020-03-07,0.005,0.0
Brazil,2020-03-08,0.062,0.057
Brazil,2020-03-09,0.062,0.0
Brazil,2020-03-10,0.062,0.0
Brazil,2020-03-11,0.062,0.0
Brazil,2020-03-12,0.062,0.0
Brazil,2020-03-13,0.062,0.0
Brazil,2020-03-14,0.062,0.0
Brazil,2020-03-15,0.399,0.338
Brazil,2020-03-16,0.399,0.0
Brazil,2020-03-17,0.399,0.0
Brazil,2020-03-18,0.399,0.0
Brazil,2020-03-19,0.399,0.0
Brazil,2020-03-20,0.399,0.0
Brazil,2020-03-21,0.399,0.0
Brazil,2020-03-22,4.298,3.899
Brazil,2020-03-23,4.298,0.0
Brazil,2020-03-24,4.298,0.0
Brazil,2020-03-25,4.298,0.0
Brazil,2020-03-26,4.298,0.0
Brazil,2020-03-27,4.298,0.0
Brazil,2020-03-28,4.298,0.0
Brazil,2020-03-29,16.248,11.949
Brazil,2020-03-30,16.248,0.0
Brazil,2020-03-31,16.248,0.0
Brazil,2020-04-01,16.248,0.0
Brazil,2020-04-02,16.248,0.0
Brazil,2020-04-03,16.248,0.0
Brazil,2020-04-04,16.248,0.0
Brazil,2020-04-05,43.061,26.813
Brazil,2020-04-06,43.061,0.0
Brazil,2020-04-07,43.061,0.0
Brazil,2020-04-08,43.061,0.0
Brazil,2020-04-09,43.061,0.0
Brazil,2020-04-10,43.061,0.0
Brazil,2020-04-11,43.061,0.0
Brazil,2020-04-12,93.378,50.317
Brazil,2020-04-13,93.378,0.0
Brazil,2020-04-14,93.378,0.0
Brazil,2020-04-15,93.378,0.0
